,name,url,location,address,lat,lon
0,Maison Nô - Hôtel et Rooftop,https://www.booking.com/hotel/fr/11-bda.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Lyon,"11 Rue du Bat d'Argent, 1er arr., 69001 Lyon, France",45.76624700,4.83550400
1,Studio avec Jardin et Parking Privés,https://www.booking.com/hotel/fr/217-rue-des-iris.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Bormes les Mimosas,"217 Rue des Iris, 83230 Bormes-les-Mimosas, France",43.14036330,6.33671490
2,33 Bis,https://www.booking.com/hotel/fr/33-bis.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,La Rochelle,"33 bis chemin des chirons longs, 17000 La Rochelle, France",46.16458800,-1.20497900
3,6AMB38-Villa avec terrasse VUE DANS RESIDENCE AVEC PISCINE COLLIOURE,https://www.booking.com/hotel/fr/6amb38-villa-avec-terrasse-vue-dans-residence-avec-piscine-collioure.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Collioure,"Résidence d'Ambeille, 66190 Collioure, France",42.52470400,3.07853500
4,A l'ombre du Palais,https://www.booking.com/hotel/fr/a-l-39-ombre-du-palais.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Avignon,"25 RUE BERTRAND, 84000 Avignon, France",43.95172900,4.81033900
5,A L'Ombre du Mont St Michel,https://www.booking.com/hotel/fr/a-l-ombre-du-mont-st-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Mont Saint Michel,"7 rue du Pont Landais, 50170 Huisnes-sur-Mer, France",48.61591354,-1.46560172
6,Hotel Restaurant A la Vignette,https://www.booking.com/hotel/fr/a-la-vignette.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Chateau du Haut Koenigsbourg,"66 Route Du Vin, 68590 Saint-Hippolyte, France",48.23310978,7.36780018
7,Abbaye des Capucins Spa & Resort,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Montauban,"6-8 Quai De Verdun, 82000 Montauban, France",44.02054293,1.34956688
8,Abrivado,https://www.booking.com/hotel/fr/abrivado.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Saintes Maries de la mer,"2, Avenue Theodore Aubanel, 13460 Les Saintes-Maries-de-la-Mer, France",43.45033695,4.42622423
9,Ace Hotel Annecy,https://www.booking.com/hotel/fr/ace-annecy.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Annecy,"8 Boulevard du Semnoz  - Zone d'activités  de Periaz Seynod, 74600 Annecy, France",45.88008995,6.09713048
